kode;operator;kategori;betegnelse;imei;abo_type;gyldig_fra;gyldig_til;merknad
TEDELBET5000;Telia;delbetaling;TELIA Fleksibel delbetaling 5000 6, 12, 18, 24 MND;;;;;
TEDELBET5500;Telia;delbetaling;TELIA Fleksibel delbetaling 5500 6, 12, 18, 24 MND;;;;;
TEDELBET6000;Telia;delbetaling;TELIA Fleksibel delbetaling 6000 6, 12, 18, 24 MND;;;;;
TEDELBET6500;Telia;delbetaling;TELIA Fleksibel delbetaling 6500 6, 12, 18, 24 MND;;;;;
TEDELBET7000;Telia;delbetaling;TELIA Fleksibel delbetaling 7000 6, 12, 18, 24 MND;;;;;
TEDELBET7500;Telia;delbetaling;TELIA Fleksibel delbetaling 7500 6, 12, 18, 24 MND;;;;;
TEDELBET8000;Telia;delbetaling;TELIA Fleksibel delbetaling 8000 6, 12, 18, 24 MND;;;;;
TEDELBET8500;Telia;delbetaling;TELIA Fleksibel delbetaling 8500 6, 12, 18, 24 MND;;;;;
TEDELBET9000;Telia;delbetaling;TELIA Fleksibel delbetaling 9000 6, 12, 18, 24 MND;;;;;
TEDELBET9500;Telia;delbetaling;TELIA Fleksibel delbetaling 9500 6, 12, 18, 24 MND;;;;;
SNC200;Telia;imei;IMEI-støtte 200,- (terminalbinding, fra IMEI-arket);JA;;;;Registreres pr. modell ved 12 mnd terminalbinding. Se imei_modell.csv.
SNC400;Telia;imei;IMEI-støtte 400,- (terminalbinding, fra IMEI-arket);JA;;;;Registreres pr. modell ved 12 mnd terminalbinding. Se imei_modell.csv.
DTEMB100GB;Telia;mbb;MBB 100GB nytegning og oppgradering med 12mnd binding for Dataprodukter;JA;;;;
DTEMB10GB;Telia;mbb;MBB 10GB nytegning og oppgradering med 12mnd binding for Dataprodukter;JA;;;;
DTEMB250GB;Telia;mbb;MBB 250GB nytegning og oppgradering med 12mnd binding for Dataprodukter;JA;;;;
DTEMB25GB;Telia;mbb;MBB 25GB nytegning og oppgradering med 12mnd binding for Dataprodukter;JA;;;;
DTEMB500GB;Telia;mbb;MBB 500GB nytegning og oppgradering med 12mnd binding for Dataprodukter;JA;;;;
DTEMB50GB;Telia;mbb;MBB 50GB nytegning og oppgradering med 12mnd binding for Dataprodukter;JA;;;;
DTEMBNY;Telia;mbb;MBB nytegning uten binding på 10GB for Dataprodukter;NEI;;;;
DTEMBNY1;Telia;mbb;MBB nytegning uten binding på 25 og 50 GB for Dataprodukter;NEI;;;;
DTEMBNY2;Telia;mbb;MBB nytegning uten binding på 100, 250 og 500 GB for Dataprodukter;NEI;;;;
SNCMBFRIDATA;Telia;mbb;Fri fart på 4G Bredbånd 7/15/30 GB;;;;;Ingen bindingstid, med mnd avgift
SNCMBXTRDATA1;Telia;mbb;Ekstra DataSIM på 4G Bredbånd 15/30/50/100/200 GB;;;;;Ingen bindingstid, med mnd avgift
